interaction_id,round_number,customer_id,action_id,converted,revenue,cost,reward,p_convert,exploit_score,explore_score,ucb_score,simulation_id
35,35,224,1,False,0.0,0.1,-0.1,0.0606,21.079,0.2692,21.3482,synthetic_seed42_cust500_rounds5000
36,36,299,3,True,99.01,0.3,98.71,0.2844,11.2037,0.2705,11.4742,synthetic_seed42_cust500_rounds5000
37,37,494,2,False,0.0,0.1,-0.1,0.1306,28.9725,0.2338,29.2064,synthetic_seed42_cust500_rounds5000
38,38,131,1,False,0.0,0.1,-0.1,0.2027,9.9848,0.1695,10.1542,synthetic_seed42_cust500_rounds5000
39,39,116,0,True,58.04,0.0,58.04,0.1872,0.0,0.3064,0.3064,synthetic_seed42_cust500_rounds5000
40,40,88,4,False,0.0,0.2,-0.2,0.3359,25.0073,0.2109,25.2182,synthetic_seed42_cust500_rounds5000
41,41,343,3,True,93.39,0.3,93.09,0.4054,34.1694,0.2403,34.4097,synthetic_seed42_cust500_rounds5000
42,42,223,0,False,0.0,0.0,0.0,0.1406,3.2323,0.1561,3.3884,synthetic_seed42_cust500_rounds5000
43,43,195,2,True,70.23,4.99,65.24,0.3275,14.0193,0.1922,14.2115,synthetic_seed42_cust500_rounds5000
44,44,103,4,False,0.0,0.2,-0.2,0.3814,33.0966,0.2842,33.3808,synthetic_seed42_cust500_rounds5000
45,45,439,1,False,0.0,0.1,-0.1,0.1674,17.7067,0.2276,17.9343,synthetic_seed42_cust500_rounds5000
46,46,220,1,False,0.0,0.1,-0.1,0.1215,15.7251,0.2615,15.9866,synthetic_seed42_cust500_rounds5000
47,47,300,0,False,0.0,0.0,0.0,0.1895,7.0448,0.205,7.2498,synthetic_seed42_cust500_rounds5000
48,48,54,4,False,0.0,0.2,-0.2,0.3265,20.4222,0.2238,20.646,synthetic_seed42_cust500_rounds5000
49,49,51,3,True,54.18,0.3,53.88,0.3031,26.9531,0.2895,27.2426,synthetic_seed42_cust500_rounds5000
50,50,32,2,False,0.0,0.1,-0.1,0.3,26.5054,0.1924,26.6977,synthetic_seed42_cust500_rounds5000
51,51,183,3,True,78.11,0.3,77.81,0.2469,45.1938,0.2119,45.4057,synthetic_seed42_cust500_rounds5000
52,52,235,3,False,0.0,0.3,-0.3,0.2388,34.354,0.1561,34.5101,synthetic_seed42_cust500_rounds5000
53,53,123,3,False,0.0,0.3,-0.3,0.2837,40.5095,0.1725,40.682,synthetic_seed42_cust500_rounds5000
54,54,174,3,False,0.0,0.3,-0.3,0.2341,27.8208,0.1261,27.9468,synthetic_seed42_cust500_rounds5000
55,55,4,3,False,0.0,0.3,-0.3,0.2671,31.2078,0.2036,31.4114,synthetic_seed42_cust500_rounds5000
56,56,175,3,False,0.0,0.3,-0.3,0.4089,36.8887,0.1816,37.0703,synthetic_seed42_cust500_rounds5000
57,57,57,2,False,0.0,0.1,-0.1,0.0992,20.0578,0.3072,20.365,synthetic_seed42_cust500_rounds5000
58,58,63,3,False,0.0,0.3,-0.3,0.5622,56.2831,0.2918,56.5748,synthetic_seed42_cust500_rounds5000
59,59,3,2,True,67.24,4.99,62.25,0.1945,16.7402,0.2346,16.9748,synthetic_seed42_cust500_rounds5000
60,60,346,3,False,0.0,0.3,-0.3,0.1855,23.14,0.1428,23.2828,synthetic_seed42_cust500_rounds5000
61,61,461,2,True,63.34,4.99,58.35,0.3489,18.9296,0.135,19.0645,synthetic_seed42_cust500_rounds5000
62,62,306,2,False,0.0,0.1,-0.1,0.2018,30.4749,0.2385,30.7134,synthetic_seed42_cust500_rounds5000
63,63,45,2,False,0.0,0.1,-0.1,0.1074,21.4516,0.2288,21.6804,synthetic_seed42_cust500_rounds5000
64,64,495,2,False,0.0,0.1,-0.1,0.1886,22.4944,0.1293,22.6237,synthetic_seed42_cust500_rounds5000
65,65,488,2,False,0.0,0.1,-0.1,0.1381,26.4143,0.2117,26.6261,synthetic_seed42_cust500_rounds5000
66,66,233,3,True,113.37,0.3,113.07,0.4989,28.6105,0.1602,28.7708,synthetic_seed42_cust500_rounds5000
67,67,51,2,True,78.89,4.99,73.9,0.2875,22.2928,0.1977,22.4905,synthetic_seed42_cust500_rounds5000
68,68,357,3,True,87.24,0.3,86.94,0.453,34.4387,0.1759,34.6146,synthetic_seed42_cust500_rounds5000
69,69,479,2,True,51.33,4.99,46.34,0.4319,13.5293,0.1413,13.6706,synthetic_seed42_cust500_rounds5000
70,70,388,3,True,82.25,0.3,81.95,0.3705,34.6358,0.1622,34.798,synthetic_seed42_cust500_rounds5000
71,71,308,3,False,0.0,0.3,-0.3,0.1838,18.904,0.2081,19.1121,synthetic_seed42_cust500_rounds5000
72,72,302,2,False,0.0,0.1,-0.1,0.1838,14.4116,0.2077,14.6192,synthetic_seed42_cust500_rounds5000
73,73,489,3,True,60.99,0.3,60.69,0.3072,26.7675,0.1852,26.9527,synthetic_seed42_cust500_rounds5000
74,74,35,3,True,81.22,0.3,80.92,0.5276,52.5828,0.1794,52.7622,synthetic_seed42_cust500_rounds5000
75,75,73,3,False,0.0,0.3,-0.3,0.2254,24.6036,0.1016,24.7052,synthetic_seed42_cust500_rounds5000
76,76,412,3,True,78.08,0.3,77.78,0.2418,34.0938,0.1359,34.2297,synthetic_seed42_cust500_rounds5000
77,77,70,3,False,0.0,0.3,-0.3,0.2937,37.0753,0.1174,37.1927,synthetic_seed42_cust500_rounds5000
78,78,192,3,False,0.0,0.3,-0.3,0.2631,32.2937,0.1232,32.4169,synthetic_seed42_cust500_rounds5000
79,79,139,3,False,0.0,0.3,-0.3,0.2818,30.3678,0.134,30.5018,synthetic_seed42_cust500_rounds5000
80,80,123,3,False,0.0,0.3,-0.3,0.2837,34.8294,0.1194,34.9489,synthetic_seed42_cust500_rounds5000
81,81,13,3,False,0.0,0.3,-0.3,0.4399,36.4923,0.128,36.6203,synthetic_seed42_cust500_rounds5000
82,82,281,3,False,0.0,0.3,-0.3,0.402,36.2069,0.133,36.3399,synthetic_seed42_cust500_rounds5000
83,83,201,2,False,0.0,0.1,-0.1,0.1333,20.1002,0.276,20.3762,synthetic_seed42_cust500_rounds5000
84,84,272,3,False,0.0,0.3,-0.3,0.3993,34.8257,0.1482,34.974,synthetic_seed42_cust500_rounds5000
85,85,150,3,True,60.57,0.3,60.27,0.3214,32.0242,0.1226,32.1468,synthetic_seed42_cust500_rounds5000
86,86,466,3,False,0.0,0.3,-0.3,0.3033,25.9205,0.1388,26.0592,synthetic_seed42_cust500_rounds5000
87,87,292,3,False,0.0,0.3,-0.3,0.3768,33.1764,0.1454,33.3218,synthetic_seed42_cust500_rounds5000
88,88,478,2,False,0.0,0.1,-0.1,0.1907,21.4594,0.1417,21.6011,synthetic_seed42_cust500_rounds5000
89,89,174,3,False,0.0,0.3,-0.3,0.2341,20.0661,0.0853,20.1514,synthetic_seed42_cust500_rounds5000
90,90,1,3,True,63.88,0.3,63.58,0.3562,29.6688,0.1432,29.812,synthetic_seed42_cust500_rounds5000
91,91,388,3,False,0.0,0.3,-0.3,0.3705,33.6503,0.1299,33.7802,synthetic_seed42_cust500_rounds5000
92,92,410,3,True,75.93,0.3,75.63,0.3946,28.9069,0.1233,29.0301,synthetic_seed42_cust500_rounds5000
93,93,28,3,True,53.9,0.3,53.6,0.3971,33.526,0.0969,33.6228,synthetic_seed42_cust500_rounds5000
94,94,308,3,False,0.0,0.3,-0.3,0.1838,12.0534,0.1794,12.2328,synthetic_seed42_cust500_rounds5000
95,95,325,2,False,0.0,0.1,-0.1,0.2687,24.0219,0.146,24.168,synthetic_seed42_cust500_rounds5000
96,96,71,3,True,49.74,0.3,49.44,0.2326,22.6221,0.1038,22.7259,synthetic_seed42_cust500_rounds5000
97,97,273,2,False,0.0,0.1,-0.1,0.2984,19.6698,0.1336,19.8034,synthetic_seed42_cust500_rounds5000
98,98,123,3,False,0.0,0.3,-0.3,0.2837,31.9123,0.1022,32.0145,synthetic_seed42_cust500_rounds5000
99,99,8,3,False,0.0,0.3,-0.3,0.3308,33.6304,0.1671,33.7975,synthetic_seed42_cust500_rounds5000
100,100,428,3,False,0.0,0.3,-0.3,0.3139,24.3716,0.1966,24.5682,synthetic_seed42_cust500_rounds5000
101,101,245,2,False,0.0,0.1,-0.1,0.1903,7.9415,0.1803,8.1217,synthetic_seed42_cust500_rounds5000
102,102,389,3,False,0.0,0.3,-0.3,0.2957,32.0428,0.1281,32.171,synthetic_seed42_cust500_rounds5000
103,103,358,3,False,0.0,0.3,-0.3,0.1892,15.5225,0.096,15.6185,synthetic_seed42_cust500_rounds5000
104,104,498,3,False,0.0,0.3,-0.3,0.3407,18.1268,0.1112,18.2379,synthetic_seed42_cust500_rounds5000
105,105,218,3,False,0.0,0.3,-0.3,0.1096,14.4905,0.0949,14.5855,synthetic_seed42_cust500_rounds5000
106,106,213,3,True,85.53,0.3,85.23,0.4534,34.4864,0.1247,34.6111,synthetic_seed42_cust500_rounds5000
107,107,139,3,False,0.0,0.3,-0.3,0.2818,21.6696,0.1079,21.7775,synthetic_seed42_cust500_rounds5000
108,108,308,2,False,0.0,0.1,-0.1,0.3079,9.9525,0.1957,10.1483,synthetic_seed42_cust500_rounds5000
109,109,242,3,False,0.0,0.3,-0.3,0.3224,22.3023,0.1227,22.425,synthetic_seed42_cust500_rounds5000
110,110,363,3,True,89.04,0.3,88.74,0.3609,26.6821,0.0856,26.7677,synthetic_seed42_cust500_rounds5000
111,111,178,2,False,0.0,0.1,-0.1,0.1924,16.9885,0.1162,17.1047,synthetic_seed42_cust500_rounds5000
112,112,64,3,False,0.0,0.3,-0.3,0.1752,11.3627,0.1273,11.49,synthetic_seed42_cust500_rounds5000
113,113,426,3,False,0.0,0.3,-0.3,0.3173,25.7849,0.1507,25.9356,synthetic_seed42_cust500_rounds5000
114,114,411,2,False,0.0,0.1,-0.1,0.1601,14.5836,0.2532,14.8368,synthetic_seed42_cust500_rounds5000
115,115,175,3,True,110.42,0.3,110.12,0.4089,36.7706,0.1024,36.873,synthetic_seed42_cust500_rounds5000
116,116,343,3,True,96.42,0.3,96.12,0.4054,35.4478,0.1008,35.5486,synthetic_seed42_cust500_rounds5000
117,117,245,2,False,0.0,0.1,-0.1,0.1903,4.0954,0.1529,4.2483,synthetic_seed42_cust500_rounds5000
118,118,380,3,False,0.0,0.3,-0.3,0.2835,25.5074,0.1185,25.6259,synthetic_seed42_cust500_rounds5000
119,119,196,3,True,38.93,0.3,38.63,0.3057,18.3185,0.2035,18.5221,synthetic_seed42_cust500_rounds5000
120,120,265,3,False,0.0,0.3,-0.3,0.2298,27.5693,0.0972,27.6664,synthetic_seed42_cust500_rounds5000
121,121,28,3,False,0.0,0.3,-0.3,0.3971,36.6589,0.084,36.7429,synthetic_seed42_cust500_rounds5000
122,122,87,2,False,0.0,0.1,-0.1,0.2,11.2968,0.1066,11.4035,synthetic_seed42_cust500_rounds5000
123,123,389,3,False,0.0,0.3,-0.3,0.2957,30.1214,0.1163,30.2377,synthetic_seed42_cust500_rounds5000
124,124,191,3,False,0.0,0.3,-0.3,0.4166,34.3668,0.1152,34.482,synthetic_seed42_cust500_rounds5000
125,125,19,3,False,0.0,0.3,-0.3,0.509,35.6934,0.1481,35.8415,synthetic_seed42_cust500_rounds5000
126,126,83,3,False,0.0,0.3,-0.3,0.3003,18.8226,0.1018,18.9244,synthetic_seed42_cust500_rounds5000
127,127,206,3,True,58.8,0.3,58.5,0.2375,27.3267,0.1133,27.44,synthetic_seed42_cust500_rounds5000
128,128,356,3,False,0.0,0.3,-0.3,0.4718,43.3676,0.1484,43.516,synthetic_seed42_cust500_rounds5000
129,129,181,3,False,0.0,0.3,-0.3,0.3016,17.9556,0.0863,18.0419,synthetic_seed42_cust500_rounds5000
130,130,372,3,True,80.5,0.3,80.2,0.2512,24.2224,0.1071,24.3296,synthetic_seed42_cust500_rounds5000
131,131,425,3,False,0.0,0.3,-0.3,0.3144,35.7999,0.1004,35.9002,synthetic_seed42_cust500_rounds5000
132,132,169,4,False,0.0,0.2,-0.2,0.3753,16.5168,0.203,16.7198,synthetic_seed42_cust500_rounds5000
133,133,397,2,False,0.0,0.1,-0.1,0.1017,14.1849,0.1235,14.3084,synthetic_seed42_cust500_rounds5000
134,134,63,3,True,140.63,0.3,140.33,0.5622,44.2654,0.1739,44.4394,synthetic_seed42_cust500_rounds5000
135,135,207,3,True,95.17,0.3,94.87,0.4865,35.3196,0.0728,35.3924,synthetic_seed42_cust500_rounds5000
136,136,46,3,False,0.0,0.3,-0.3,0.3177,32.2967,0.1058,32.4026,synthetic_seed42_cust500_rounds5000
137,137,26,3,True,101.37,0.3,101.07,0.4709,36.5515,0.0938,36.6454,synthetic_seed42_cust500_rounds5000
138,138,31,3,False,0.0,0.3,-0.3,0.3216,39.0714,0.0911,39.1626,synthetic_seed42_cust500_rounds5000
139,139,50,2,False,0.0,0.1,-0.1,0.1234,8.2067,0.1202,8.3269,synthetic_seed42_cust500_rounds5000
140,140,414,3,False,0.0,0.3,-0.3,0.3746,29.1368,0.0737,29.2105,synthetic_seed42_cust500_rounds5000
141,141,269,0,False,0.0,0.0,0.0,0.1795,6.3694,0.3311,6.7005,synthetic_seed42_cust500_rounds5000
142,142,471,3,False,0.0,0.3,-0.3,0.3211,22.6163,0.0698,22.686,synthetic_seed42_cust500_rounds5000
143,143,267,3,False,0.0,0.3,-0.3,0.4412,45.1514,0.121,45.2725,synthetic_seed42_cust500_rounds5000
144,144,310,3,False,0.0,0.3,-0.3,0.3201,28.0656,0.0633,28.1289,synthetic_seed42_cust500_rounds5000
145,145,92,3,True,64.33,0.3,64.03,0.277,20.0689,0.1266,20.1955,synthetic_seed42_cust500_rounds5000
146,146,267,3,True,54.17,0.3,53.87,0.4412,42.4002,0.1174,42.5176,synthetic_seed42_cust500_rounds5000
147,147,193,3,False,0.0,0.3,-0.3,0.4052,23.1476,0.1386,23.2862,synthetic_seed42_cust500_rounds5000
148,148,461,3,True,52.43,0.3,52.13,0.2258,18.8069,0.081,18.8879,synthetic_seed42_cust500_rounds5000
149,149,463,2,True,50.56,4.99,45.57,0.2114,7.1987,0.1331,7.3318,synthetic_seed42_cust500_rounds5000
150,150,100,3,False,0.0,0.3,-0.3,0.4993,35.9447,0.078,36.0227,synthetic_seed42_cust500_rounds5000
151,151,306,3,False,0.0,0.3,-0.3,0.2861,38.3755,0.1308,38.5062,synthetic_seed42_cust500_rounds5000
152,152,314,3,False,0.0,0.3,-0.3,0.3483,31.5946,0.0786,31.6732,synthetic_seed42_cust500_rounds5000
153,153,278,3,True,74.02,0.3,73.72,0.4195,29.5093,0.0606,29.5699,synthetic_seed42_cust500_rounds5000
154,154,61,3,False,0.0,0.3,-0.3,0.1778,18.4581,0.1218,18.5799,synthetic_seed42_cust500_rounds5000
155,155,321,3,False,0.0,0.3,-0.3,0.3958,34.2844,0.0754,34.3598,synthetic_seed42_cust500_rounds5000
156,156,396,3,False,0.0,0.3,-0.3,0.5165,39.2115,0.1196,39.3311,synthetic_seed42_cust500_rounds5000
157,157,172,3,False,0.0,0.3,-0.3,0.1652,11.9072,0.0856,11.9928,synthetic_seed42_cust500_rounds5000
158,158,255,3,False,0.0,0.3,-0.3,0.5092,56.4218,0.2304,56.6521,synthetic_seed42_cust500_rounds5000
159,159,55,3,False,0.0,0.3,-0.3,0.3266,20.6558,0.1596,20.8154,synthetic_seed42_cust500_rounds5000
160,160,461,3,False,0.0,0.3,-0.3,0.2258,18.6347,0.0759,18.7105,synthetic_seed42_cust500_rounds5000
161,161,52,2,False,0.0,0.1,-0.1,0.1639,13.4513,0.1183,13.5696,synthetic_seed42_cust500_rounds5000
162,162,105,3,True,107.07,0.3,106.77,0.5409,46.6798,0.1895,46.8694,synthetic_seed42_cust500_rounds5000
163,163,147,3,True,81.96,0.3,81.66,0.3685,27.1783,0.1134,27.2917,synthetic_seed42_cust500_rounds5000
164,164,410,3,False,0.0,0.3,-0.3,0.3946,34.121,0.0918,34.2128,synthetic_seed42_cust500_rounds5000
165,165,349,3,False,0.0,0.3,-0.3,0.4318,32.3095,0.0831,32.3926,synthetic_seed42_cust500_rounds5000
166,166,4,3,False,0.0,0.3,-0.3,0.2671,17.1855,0.109,17.2945,synthetic_seed42_cust500_rounds5000
167,167,91,2,False,0.0,0.1,-0.1,0.273,7.2426,0.1026,7.3452,synthetic_seed42_cust500_rounds5000
168,168,375,3,True,122.36,0.3,122.06,0.4526,34.1175,0.0834,34.2009,synthetic_seed42_cust500_rounds5000
169,169,202,3,False,0.0,0.3,-0.3,0.3491,25.2407,0.0742,25.3149,synthetic_seed42_cust500_rounds5000
170,170,14,3,True,82.01,0.3,81.71,0.3197,23.2261,0.0581,23.2842,synthetic_seed42_cust500_rounds5000
171,171,480,3,False,0.0,0.3,-0.3,0.4031,30.3389,0.0747,30.4137,synthetic_seed42_cust500_rounds5000
172,172,73,3,False,0.0,0.3,-0.3,0.2254,15.6266,0.0612,15.6877,synthetic_seed42_cust500_rounds5000
173,173,254,3,False,0.0,0.3,-0.3,0.337,33.4836,0.0772,33.5608,synthetic_seed42_cust500_rounds5000
174,174,125,2,False,0.0,0.1,-0.1,0.2403,5.1178,0.1554,5.2731,synthetic_seed42_cust500_rounds5000
175,175,368,3,False,0.0,0.3,-0.3,0.371,28.1622,0.0713,28.2334,synthetic_seed42_cust500_rounds5000
176,176,387,2,False,0.0,0.1,-0.1,0.1717,16.3424,0.1285,16.4709,synthetic_seed42_cust500_rounds5000
177,177,197,3,False,0.0,0.3,-0.3,0.2369,28.3612,0.1212,28.4824,synthetic_seed42_cust500_rounds5000
178,178,323,3,False,0.0,0.3,-0.3,0.2606,24.3821,0.0764,24.4584,synthetic_seed42_cust500_rounds5000
179,179,449,2,False,0.0,0.1,-0.1,0.3206,8.2488,0.1249,8.3737,synthetic_seed42_cust500_rounds5000
180,180,405,4,False,0.0,0.2,-0.2,0.1659,9.6037,0.1685,9.7722,synthetic_seed42_cust500_rounds5000
181,181,207,3,True,101.2,0.3,100.9,0.4865,31.5993,0.0591,31.6584,synthetic_seed42_cust500_rounds5000
182,182,219,3,False,0.0,0.3,-0.3,0.2262,25.6077,0.0688,25.6765,synthetic_seed42_cust500_rounds5000
183,183,437,3,True,84.77,0.3,84.47,0.3554,27.3185,0.1168,27.4353,synthetic_seed42_cust500_rounds5000
184,184,19,3,False,0.0,0.3,-0.3,0.509,30.5007,0.1118,30.6124,synthetic_seed42_cust500_rounds5000
185,185,12,3,False,0.0,0.3,-0.3,0.2785,15.1097,0.0729,15.1826,synthetic_seed42_cust500_rounds5000
186,186,104,2,False,0.0,0.1,-0.1,0.1899,20.7282,0.1264,20.8547,synthetic_seed42_cust500_rounds5000
187,187,410,3,False,0.0,0.3,-0.3,0.3946,32.4339,0.0875,32.5214,synthetic_seed42_cust500_rounds5000
188,188,75,3,True,53.89,0.3,53.59,0.3048,23.4519,0.0703,23.5222,synthetic_seed42_cust500_rounds5000
189,189,141,3,False,0.0,0.3,-0.3,0.2889,14.6225,0.1004,14.7229,synthetic_seed42_cust500_rounds5000
190,190,310,3,False,0.0,0.3,-0.3,0.3201,26.0416,0.0517,26.0934,synthetic_seed42_cust500_rounds5000
191,191,92,3,False,0.0,0.3,-0.3,0.277,17.6849,0.1074,17.7922,synthetic_seed42_cust500_rounds5000
192,192,149,3,False,0.0,0.3,-0.3,0.2072,15.5453,0.0564,15.6016,synthetic_seed42_cust500_rounds5000
193,193,233,3,True,112.21,0.3,111.91,0.4989,31.1891,0.0772,31.2664,synthetic_seed42_cust500_rounds5000
194,194,113,2,False,0.0,0.1,-0.1,0.2607,12.9437,0.1069,13.0506,synthetic_seed42_cust500_rounds5000
195,195,497,3,True,71.33,0.3,71.03,0.2147,21.5798,0.0708,21.6506,synthetic_seed42_cust500_rounds5000
196,196,79,3,True,66.21,0.3,65.91,0.5815,48.9765,0.0967,49.0732,synthetic_seed42_cust500_rounds5000
197,197,421,3,True,68.29,0.3,67.99,0.2317,23.6603,0.0823,23.7426,synthetic_seed42_cust500_rounds5000
198,198,234,3,True,71.99,0.3,71.69,0.3757,26.9137,0.06,26.9736,synthetic_seed42_cust500_rounds5000
199,199,63,3,False,0.0,0.3,-0.3,0.5622,53.9891,0.1295,54.1186,synthetic_seed42_cust500_rounds5000
200,200,56,3,False,0.0,0.3,-0.3,0.4601,30.1046,0.0867,30.1913,synthetic_seed42_cust500_rounds5000
201,201,249,3,False,0.0,0.3,-0.3,0.2469,23.0591,0.0859,23.1451,synthetic_seed42_cust500_rounds5000
202,202,176,4,False,0.0,0.2,-0.2,0.139,6.6051,0.1893,6.7944,synthetic_seed42_cust500_rounds5000
203,203,116,0,False,0.0,0.0,0.0,0.1872,14.4651,0.2496,14.7147,synthetic_seed42_cust500_rounds5000
204,204,477,3,False,0.0,0.3,-0.3,0.1825,17.9944,0.072,18.0665,synthetic_seed42_cust500_rounds5000
205,205,229,3,False,0.0,0.3,-0.3,0.3832,24.1152,0.0915,24.2067,synthetic_seed42_cust500_rounds5000
206,206,460,3,False,0.0,0.3,-0.3,0.2239,17.6538,0.0796,17.7335,synthetic_seed42_cust500_rounds5000
207,207,79,3,True,104.98,0.3,104.68,0.5815,47.4265,0.0924,47.5188,synthetic_seed42_cust500_rounds5000
208,208,91,2,True,43.64,4.99,38.65,0.273,6.1234,0.0959,6.2193,synthetic_seed42_cust500_rounds5000
209,209,295,3,True,67.67,0.3,67.37,0.2716,21.3034,0.0572,21.3606,synthetic_seed42_cust500_rounds5000
210,210,135,3,True,67.8,0.3,67.5,0.3454,21.7091,0.0692,21.7782,synthetic_seed42_cust500_rounds5000
211,211,92,3,False,0.0,0.3,-0.3,0.277,18.9788,0.1007,19.0795,synthetic_seed42_cust500_rounds5000
212,212,44,3,False,0.0,0.3,-0.3,0.427,37.4932,0.1035,37.5966,synthetic_seed42_cust500_rounds5000
213,213,37,3,False,0.0,0.3,-0.3,0.4584,37.9155,0.0897,38.0052,synthetic_seed42_cust500_rounds5000
214,214,376,3,False,0.0,0.3,-0.3,0.2202,24.4813,0.0558,24.5371,synthetic_seed42_cust500_rounds5000
215,215,140,3,True,108.31,0.3,108.01,0.4174,43.1092,0.0932,43.2025,synthetic_seed42_cust500_rounds5000
216,216,490,3,False,0.0,0.3,-0.3,0.3353,39.298,0.0811,39.3792,synthetic_seed42_cust500_rounds5000
217,217,91,2,False,0.0,0.1,-0.1,0.273,7.2765,0.0941,7.3707,synthetic_seed42_cust500_rounds5000
218,218,177,3,True,80.91,0.3,80.61,0.4298,33.5241,0.0757,33.5998,synthetic_seed42_cust500_rounds5000
219,219,189,3,False,0.0,0.3,-0.3,0.5491,37.4955,0.0758,37.5713,synthetic_seed42_cust500_rounds5000
220,220,248,3,False,0.0,0.3,-0.3,0.1191,8.9621,0.0779,9.04,synthetic_seed42_cust500_rounds5000
221,221,429,3,True,89.03,0.3,88.73,0.3628,23.6692,0.065,23.7341,synthetic_seed42_cust500_rounds5000
222,222,413,3,False,0.0,0.3,-0.3,0.3307,28.4048,0.068,28.4728,synthetic_seed42_cust500_rounds5000
223,223,5,3,False,0.0,0.3,-0.3,0.1987,26.2488,0.0646,26.3133,synthetic_seed42_cust500_rounds5000
224,224,205,3,True,70.27,0.3,69.97,0.183,11.0014,0.0745,11.0759,synthetic_seed42_cust500_rounds5000
225,225,411,2,False,0.0,0.1,-0.1,0.1601,10.6122,0.1993,10.8115,synthetic_seed42_cust500_rounds5000
226,226,1,3,False,0.0,0.3,-0.3,0.3562,31.6823,0.0887,31.771,synthetic_seed42_cust500_rounds5000
